"id";"requisito";"criterio";"caso_historia";"regla_invariante";"entidad_dato";"endpoint";"metodo";"rol";"pantalla_accion";"prueba_backend";"prueba_frontend";"e2e_playwright";"evidencia";"comando_reproducible";"resultado";"sha_aplicacion";"riesgo_residual"
"RF01-C01";"RF-01";"El Administrador gestiona datos maestros de la flota";"CU-01 pasos 1-2";"Identidad, estado y kilometraje se conservan con auditoría";"Bus, ModeloBus, BusEstadoHistorial, LecturaKilometraje";"/api/flota/buses y /api/flota/modelos-bus";"GET, POST, PATCH";"ADMINISTRADOR";"RF-01 Flota";"fleet.test.ts, fleet-catalog.test.ts";"Fleet.test.tsx, FleetCatalogs.test.tsx";"p12-security.spec.ts";"P14_RF01_ADMIN_FLOTA_1440.png";"npm run test:backend:local -- --run test/fleet.test.ts test/fleet-catalog.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Datos simulados, no integración con registro vehicular externo"
"RF01-C02";"RF-01";"El Despachador programa o ajusta jornadas";"CU-01 pasos 3-4";"Responsables se derivan de sesión y las mutaciones son idempotentes";"JornadaOperativa, Ruta, Usuario, Bus";"/api/jornadas";"GET, POST";"DESPACHADOR, ADMINISTRADOR";"RF-01 Jornadas";"journey.test.ts";"Journeys.test.tsx";"p13-production.spec.ts";"P14_RF01_DESPACHADOR_JORNADAS_1440.png";"npm run test:backend:local -- --run test/journey.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Operación académica simulada"
"RF01-C03";"RF-01";"Un conductor no puede tener jornadas superpuestas";"CU-01 excepción conductor ocupado";"Exclusión temporal por conductor incluso bajo concurrencia";"JornadaOperativa";"/api/jornadas";"POST";"DESPACHADOR, ADMINISTRADOR";"Validación de formulario y error de conflicto";"journey.test.ts, p12-concurrency.test.ts";"Journeys.test.tsx";"No aplica adicional";"Matriz y resultado de pruebas";"npm run test:backend:local -- --run test/journey.test.ts test/p12-concurrency.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF01-C04";"RF-01";"Un bus no puede tener jornadas superpuestas";"CU-01 excepción bus ocupado";"Exclusión temporal por bus incluso bajo concurrencia";"JornadaOperativa";"/api/jornadas";"POST";"DESPACHADOR, ADMINISTRADOR";"Validación de formulario y error de conflicto";"journey.test.ts, p12-concurrency.test.ts";"Journeys.test.tsx";"No aplica adicional";"Matriz y resultado de pruebas";"npm run test:backend:local -- --run test/journey.test.ts test/p12-concurrency.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF01-C05";"RF-01";"No se inicia una jornada con bus no disponible";"CU-01 excepción bus no disponible";"Disponibilidad acumula estado, orden, novedad, preventivo y jornada";"Bus, JornadaOperativa, OrdenTrabajo, Novedad, ProgramacionMantenimiento";"/api/jornadas/:jornadaId/iniciar";"POST";"ADMINISTRADOR, DESPACHADOR, CONDUCTOR propietario";"Acción Iniciar jornada";"journey.test.ts, preventive-availability-alerts.test.ts";"Journeys.test.tsx";"p13-production.spec.ts";"P14_RF01_CONDUCTOR_JORNADA_1024.png";"npm run test:backend:local -- --run test/journey.test.ts test/preventive-availability-alerts.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF01-C06";"RF-01";"Toda reasignación conserva responsable, fecha y motivo";"CU-01 paso 9";"La reasignación crea sucesora y no reescribe el antecedente";"JornadaOperativa";"/api/jornadas/:jornadaId/reasignar";"POST";"ADMINISTRADOR, DESPACHADOR";"Acción Reasignar";"journey.test.ts";"Journeys.test.tsx";"No aplica adicional";"P14_RF01_DESPACHADOR_JORNADAS_1440.png";"npm run test:backend:local -- --run test/journey.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF01-C07";"RF-01";"El kilometraje final no puede ser inferior al inicial";"CU-01 excepción kilometraje";"Orden temporal del odómetro validado transaccionalmente";"LecturaKilometraje, JornadaOperativa, Bus";"/api/jornadas/:jornadaId/finalizar";"POST";"ADMINISTRADOR, DESPACHADOR, CONDUCTOR propietario";"Acción Finalizar jornada";"journey.test.ts, p12-concurrency.test.ts";"Journeys.test.tsx";"No aplica adicional";"P14_RF01_CONDUCTOR_JORNADA_1024.png";"npm run test:backend:local -- --run test/journey.test.ts test/p12-concurrency.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF01-C08";"RF-01";"El Conductor solo consulta su propia jornada";"CU-01 paso 10";"El alcance se deriva de la sesión";"Usuario, JornadaOperativa";"/api/jornadas/mi-jornada";"GET";"CONDUCTOR";"Mi jornada";"journey.test.ts, p12-security.test.ts";"Journeys.test.tsx";"p12-security.spec.ts";"P14_RF01_CONDUCTOR_JORNADA_1024.png";"npm run test:backend:local -- --run test/journey.test.ts test/p12-security.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF01-C09";"RF-01";"El backend no confía en un busId libre del Conductor";"CU-01 excepción IDOR";"Propiedad por sesión antes de cargar el recurso";"Usuario, JornadaOperativa, Bus";"/api/flota/mi-bus, /api/jornadas/mi-jornada";"GET";"CONDUCTOR";"Mi bus y Mi jornada";"fleet.test.ts, journey.test.ts, p12-security.test.ts";"Fleet.test.tsx, Journeys.test.tsx";"p12-security.spec.ts";"P14_RF01_CONDUCTOR_JORNADA_1024.png";"npm run test:backend:local -- --run test/fleet.test.ts test/journey.test.ts test/p12-security.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
"RF02-C01";"RF-02";"Jornada, conductor y bus se derivan de sesión y turno vigente";"CU-02 pasos 1-2";"No se acepta identidad operacional libre desde cliente";"Usuario, JornadaOperativa, Bus, Novedad";"/api/novedades";"POST";"CONDUCTOR";"Reportar novedad";"novelty.test.ts, p12-security.test.ts";"Novelties.test.tsx";"novelty-p5.spec.ts";"P14_RF02_CONDUCTOR_NOVEDADES_1440.png";"npm run test:backend:local -- --run test/novelty.test.ts test/p12-security.test.ts";"PASS";"3a4b0134e8960c499c3d77317ba138acb5ba3137";"Ninguno identificado"
